class_name,AMC,CBM,IC,CAM,MFA,MOA,DAM,LOC,LCOM3,NPM,Ce,Ca,LCOM,RFC,CBO,NOC,DIT,WMC
com.eteks.sweethome3d.viewcontroller.RoomController,27.7941,0.0,0.0,0.1176,0.0,9.0,1.0,998.0,0.8852,29.0,17.0,29.0,361.0,87.0,42.0,0.0,0.0,34.0
com.gbshape.dbe.sapdb.SapdbTableList,47.5,0.0,0.0,0.75,0.0,0.0,0.0,97.0,2.0,2.0,4.0,0.0,1.0,17.0,4.0,0.0,0.0,2.0
com.gbshape.dbe.utils.DBEHelper,52.8438,0.0,0.0,0.1295,0.0,0.0,1.0,1725.0,1.0323,30.0,8.0,44.0,496.0,117.0,52.0,0.0,0.0,32.0
com.google.common.base.CharMatcher,27.0303,0.0,0.0,0.2014,0.0,15.0,0.1176,942.0,1.0,30.0,21.0,30.0,526.0,74.0,33.0,17.0,0.0,33.0
com.google.common.base.Joiner,8.7,0.0,0.0,0.23,0.0,0.0,1.0,195.0,0.2632,14.0,5.0,27.0,178.0,36.0,29.0,2.0,0.0,20.0
com.google.common.base.Objects,9.0,0.0,0.0,0.2,0.0,0.0,0.0,80.0,2.0,6.0,3.0,45.0,28.0,18.0,48.0,0.0,0.0,8.0
com.google.common.base.Predicates,6.6667,0.0,0.0,0.0751,0.0,1.0,1.0,185.0,0.9565,18.0,15.0,19.0,274.0,44.0,32.0,0.0,0.0,24.0
com.google.common.base.Splitter,9.65,0.0,0.0,0.16,0.0,2.0,1.0,217.0,0.3684,13.0,9.0,14.0,152.0,37.0,16.0,0.0,0.0,20.0
com.google.common.base.Suppliers,6.8571,0.0,0.0,0.2143,0.0,0.0,0.0,55.0,2.0,6.0,9.0,1.0,21.0,14.0,10.0,0.0,0.0,7.0
com.google.common.util.concurrent.Monitor,25.1538,0.0,0.0,0.3114,0.0,0.0,1.0,1022.0,0.4605,31.0,3.0,1.0,0.0,70.0,3.0,0.0,0.0,39.0
com.google.javascript.jscomp.CheckGlobalThis,34.1667,0.0,0.0,0.6,0.0,3.0,0.6667,214.0,0.6667,2.0,8.0,2.0,1.0,31.0,10.0,0.0,0.0,6.0
com.google.javascript.jscomp.CollapseProperties,57.52,0.0,0.0,0.2727,0.0,4.0,0.625,1471.0,0.8385,1.0,31.0,2.0,110.0,143.0,32.0,0.0,0.0,25.0
com.google.javascript.jscomp.ControlFlowAnalysis,38.5,0.0,0.0,0.19,0.0,4.0,1.0,1592.0,0.8462,5.0,16.0,8.0,704.0,100.0,22.0,0.0,0.0,40.0
com.google.javascript.jscomp.ExploitAssigns,37.1429,0.0,0.0,0.5357,0.0,0.0,0.0,267.0,2.0,0.0,4.0,1.0,21.0,28.0,5.0,0.0,0.0,7.0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,53.7143,0.0,0.0,0.3368,0.0,3.0,0.7778,2690.0,0.9444,1.0,18.0,5.0,1130.0,177.0,21.0,0.0,0.0,49.0
com.google.javascript.jscomp.ReferenceCollectingCallback,15.0,0.0,0.0,0.2593,0.0,4.0,0.8333,262.0,0.7778,11.0,23.0,7.0,72.0,52.0,30.0,0.0,0.0,16.0
com.google.javascript.jscomp.ScopedAliases,22.4286,0.0,0.0,0.3056,0.0,10.0,0.2727,175.0,0.9394,2.0,12.0,4.0,11.0,30.0,15.0,0.0,0.0,7.0
com.google.javascript.jscomp.parsing.JsDocInfoParser,60.129,0.0,0.0,0.1279,0.0,12.0,1.0,3805.0,0.8022,1.0,27.0,2.0,1283.0,198.0,28.0,0.0,0.0,62.0
com.google.javascript.rhino.jstype.RecordType,40.5455,0.0,0.0,0.2149,0.0,0.0,1.0,461.0,0.75,3.0,12.0,5.0,17.0,62.0,13.0,0.0,0.0,11.0
com.gotoservers.ftp.FtpApplet,30.8333,0.0,0.0,1.0,0.0,3.0,0.0,201.0,0.88,5.0,3.0,1.0,1.0,30.0,3.0,0.0,0.0,6.0
com.hf.sfm.crypt.Base64,194.2,0.0,0.0,0.2222,0.0,0.0,1.0,1956.0,0.5556,6.0,0.0,1.0,41.0,25.0,1.0,0.0,0.0,10.0
com.ib.client.ComboLeg,25.0,0.0,0.0,0.5625,0.0,0.0,0.0,115.0,0.4848,4.0,1.0,1.0,4.0,6.0,2.0,0.0,0.0,4.0
com.ib.client.ExecutionFilter,31.0,0.0,0.0,0.5,0.0,0.0,0.0,103.0,0.4286,3.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0
com.imsmart.servlet.HTMLFilter,33.5,0.0,0.0,0.5,0.0,0.0,0.0,69.0,2.0,2.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,2.0
com.jstevh.viewer.ClassInfo,39.04,0.0,0.0,0.1556,0.0,1.0,0.7273,1012.0,0.7727,18.0,5.0,6.0,64.0,69.0,10.0,0.0,0.0,25.0
com.jstevh.viewer.ClassViewer,58.65,0.0,0.0,0.1937,0.0,3.0,0.2063,2449.0,0.9369,9.0,21.0,15.0,626.0,168.0,21.0,0.0,0.0,40.0
com.jstevh.viewer.SAXDirParser,26.3077,0.0,0.0,0.1528,0.0,1.0,0.9091,366.0,0.8561,12.0,1.0,1.0,36.0,38.0,2.0,0.0,0.0,13.0
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,39.8,0.0,0.0,0.3492,0.0,1.0,1.0,419.0,0.7677,5.0,5.0,3.0,17.0,38.0,8.0,0.0,0.0,10.0
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,8.2679,0.0,0.0,0.1393,0.0,1.0,1.0,520.0,0.0364,56.0,6.0,0.0,0.0,107.0,6.0,0.0,0.0,56.0
com.lts.event.SimpleKeyListenerHelper,9.3333,0.0,0.0,0.4,0.0,0.0,1.0,63.0,0.6,6.0,2.0,0.0,9.0,15.0,2.0,0.0,0.0,6.0
com.lts.io.DirectoryScanner,59.913,0.0,0.0,0.2909,0.0,0.0,1.0,1412.0,0.7314,14.0,1.0,5.0,181.0,51.0,6.0,1.0,0.0,23.0
com.lts.swing.combobox.SimpleComboBox,21.0,0.0,0.0,0.375,0.0,1.0,1.0,134.0,0.7,6.0,1.0,0.0,9.0,19.0,1.0,0.0,0.0,6.0
com.mentorgen.tools.profile.runtime.Profile,26.0435,0.0,0.0,0.1591,0.0,2.0,1.0,632.0,0.7591,21.0,6.0,3.0,99.0,86.0,8.0,0.0,0.0,23.0
com.mytdev.resources4j.impl.AbstractResources,26.4561,0.0,0.0,0.1655,0.0,0.0,1.0,1588.0,0.9332,54.0,1.0,2.0,1480.0,113.0,3.0,2.0,0.0,57.0
com.pmdesigns.jvc.tools.JVCParser,49.8824,0.0,0.0,0.168,0.0,4.0,0.7917,1754.0,0.7336,17.0,5.0,2.0,263.0,84.0,7.0,0.0,0.0,34.0
com.pmdesigns.jvc.tools.JVCParserTokenManager,129.4737,0.0,0.0,0.4179,0.0,1.0,0.2105,7456.0,0.6682,7.0,4.0,1.0,388.0,73.0,5.0,0.0,0.0,57.0
com.pmdesigns.jvc.tools.TokenMgrError,28.8333,0.0,0.0,0.5,0.0,0.0,0.1667,185.0,1.1333,4.0,0.0,1.0,15.0,22.0,1.0,0.0,0.0,6.0
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,23.0,0.0,0.0,0.236,0.0,1.0,1.0,587.0,0.8458,23.0,8.0,2.0,174.0,43.0,10.0,0.0,0.0,24.0
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,22.5556,0.0,0.0,0.2745,0.0,0.0,1.0,432.0,0.8015,17.0,7.0,2.0,81.0,33.0,9.0,0.0,0.0,18.0
com.soops.CEN4010.JMCA.JMCAAnalyzer,80.3333,0.0,0.0,0.2917,0.0,0.0,1.0,980.0,0.7955,3.0,6.0,1.0,42.0,61.0,7.0,0.0,0.0,12.0
com.soops.CEN4010.JMCA.JParser.JavaCharStream,39.8387,0.0,0.0,0.3011,0.0,0.0,0.7059,1283.0,0.4706,25.0,0.0,2.0,139.0,44.0,2.0,0.0,0.0,31.0
com.soops.CEN4010.JMCA.JParser.JavaParser,35.6559,0.0,0.0,0.1254,0.0,9.0,0.4615,17058.0,0.6044,121.0,12.0,3.0,68234.0,501.0,14.0,0.0,0.0,465.0
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,141.093,0.0,0.0,0.3175,0.0,1.0,0.1333,6140.0,0.8246,7.0,5.0,1.0,195.0,64.0,6.0,0.0,0.0,43.0
com.werken.saxpath.XPathLexer,23.4091,0.0,0.0,0.2318,0.0,1.0,1.0,1078.0,0.5698,3.0,1.0,1.0,920.0,51.0,2.0,0.0,0.0,44.0
com.yahoo.platform.yui.compressor.JavaScriptCompressor,132.5357,0.0,0.0,0.1717,0.0,1.0,0.65,3759.0,0.8,2.0,9.0,2.0,170.0,111.0,10.0,0.0,0.0,28.0
com.yahoo.platform.yui.compressor.ScriptOrFnScope,25.0909,0.0,0.0,0.3636,0.0,1.0,1.0,294.0,0.7857,0.0,2.0,2.0,11.0,31.0,2.0,0.0,0.0,11.0
com.yahoo.platform.yui.compressor.YUICompressor,115.0,0.0,0.0,0.25,0.0,0.0,0.0,464.0,2.0,2.0,8.0,0.0,6.0,49.0,8.0,0.0,0.0,4.0
corina.formats.TucsonSimple,29.3333,0.0,0.0,0.3333,0.0,0.0,0.0,273.0,2.0,5.0,7.0,0.0,36.0,35.0,7.0,0.0,0.0,9.0
de.beiri22.stringincrementor.StringIncrementor,68.4,0.0,0.0,0.45,0.0,0.0,0.0,347.0,2.0,5.0,4.0,1.0,10.0,38.0,5.0,0.0,0.0,5.0
de.beiri22.stringincrementor.helper.IndexedString,50.0,0.0,0.0,0.5,0.0,0.0,1.0,155.0,0.25,2.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,3.0
de.devcity.parseargs.ArgsParser,61.5556,0.0,0.0,0.4815,0.0,0.0,0.5,567.0,0.7188,9.0,3.0,0.0,0.0,27.0,3.0,0.0,0.0,9.0
de.huxhorn.lilith.data.access.AccessEvent,14.5294,0.0,0.0,0.2101,0.0,1.0,1.0,544.0,0.9205,34.0,1.0,26.0,413.0,47.0,27.0,0.0,0.0,34.0
de.outstare.fortbattleplayer.model.impl.SimpleSector,18.5217,0.0,0.0,0.1768,0.0,2.0,0.9231,462.0,0.8252,16.0,9.0,2.0,147.0,41.0,11.0,0.0,0.0,23.0
de.outstare.fortbattleplayer.statistics.BattleStatistics,27.6667,0.0,0.0,0.2323,0.0,6.0,0.9583,1314.0,0.9299,36.0,24.0,2.0,834.0,130.0,26.0,0.0,0.0,45.0
de.paragon.explorer.event.ExplorerFrameEventConverter,23.4524,0.0,0.0,0.1227,0.0,8.0,1.0,1037.0,0.8537,20.0,26.0,4.0,847.0,167.0,27.0,0.0,0.0,42.0
de.paragon.explorer.model.AttributeModelComparator,17.3333,0.0,0.0,0.5556,0.0,0.0,1.0,57.0,1.5,3.0,1.0,2.0,3.0,6.0,3.0,0.0,0.0,3.0
de.progra.charting.CoordSystemUtilities,87.4615,0.0,0.0,0.2923,0.0,4.0,1.0,1155.0,0.6167,13.0,5.0,1.0,0.0,61.0,5.0,0.0,0.0,13.0
de.progra.charting.DefaultChart,33.4286,0.0,0.0,0.5,0.0,0.0,0.0,243.0,0.8333,5.0,7.0,5.0,19.0,49.0,12.0,0.0,0.0,7.0
de.tudarmstadt.ukp.wikipedia.api.CycleHandler,49.4,0.0,0.0,0.4,0.0,2.0,0.5,256.0,0.3125,3.0,10.0,1.0,0.0,30.0,10.0,0.0,0.0,5.0
de.tudarmstadt.ukp.wikipedia.api.Title,16.2,0.0,0.0,0.65,0.0,0.0,1.0,178.0,0.8704,7.0,1.0,15.0,33.0,24.0,16.0,0.0,0.0,10.0
de.tudarmstadt.ukp.wikipedia.api.WikipediaInfo,49.0667,0.0,0.0,0.4111,0.0,1.0,1.0,758.0,0.6939,10.0,15.0,0.0,37.0,70.0,15.0,0.0,0.0,15.0
dk.statsbiblioteket.summa.storage.database.StatementHandler,24.9259,0.0,0.0,0.3077,0.0,0.0,1.0,706.0,0.6282,23.0,6.0,2.0,335.0,48.0,8.0,1.0,0.0,27.0
dk.statsbiblioteket.summa.support.harmonise.InteractionAdjuster,71.8276,0.0,0.0,0.1786,0.0,3.0,0.4,2157.0,0.977,5.0,31.0,4.0,238.0,151.0,34.0,0.0,0.0,29.0
dsachat.client.gui.InternalChatFrame,53.3125,0.0,0.0,0.2222,0.0,1.0,1.0,878.0,0.763,12.0,2.0,1.0,72.0,91.0,2.0,0.0,0.0,16.0
dsachat.server.Handler,59.5333,0.0,0.0,0.3778,0.0,0.0,1.0,909.0,0.0714,4.0,8.0,4.0,0.0,60.0,12.0,0.0,0.0,15.0
edu.mscd.cs.jclo.JCLO,25.6757,0.0,0.0,0.2635,0.0,0.0,1.0,993.0,0.5926,26.0,0.0,2.0,630.0,89.0,2.0,0.0,0.0,37.0
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,24.1538,0.0,0.0,0.3077,0.0,0.0,1.0,335.0,0.6563,13.0,1.0,18.0,0.0,23.0,19.0,0.0,0.0,13.0
fi.vtt.noen.testgen.observations.formatter.DaikonFormatter,38.5,0.0,0.0,0.2857,0.0,0.0,1.0,556.0,0.7949,8.0,8.0,1.0,81.0,50.0,9.0,0.0,0.0,14.0
fps370.Fps370Panel,85.1304,0.0,0.0,0.1848,0.0,4.0,0.05,2041.0,0.9129,18.0,21.0,6.0,143.0,183.0,21.0,0.0,0.0,23.0
fr.pingtimeout.jtail.gui.action.IndexFileAction,41.75,0.0,0.0,0.4444,0.0,2.0,1.0,175.0,0.6667,3.0,14.0,2.0,0.0,30.0,16.0,0.0,0.0,4.0
fr.pingtimeout.jtail.gui.view.JTailPanel,65.8,0.0,0.0,0.36,0.0,1.0,0.1429,341.0,0.6429,4.0,7.0,4.0,0.0,51.0,8.0,0.0,0.0,5.0
fr.unice.gfarce.dao.OracleIdentiteDao,60.625,0.0,0.0,0.4,0.0,0.0,0.5,495.0,0.1429,8.0,5.0,1.0,8.0,43.0,6.0,0.0,0.0,8.0
fr.unice.gfarce.interGraph.ModifTableStockage,126.6667,0.0,0.0,0.3556,0.0,1.0,1.0,1152.0,0.0,9.0,1.0,2.0,0.0,39.0,3.0,0.0,0.0,9.0
framework.util.StringUtils,19.9714,0.0,0.0,0.1405,0.0,0.0,1.0,742.0,0.989,33.0,5.0,16.0,593.0,100.0,19.0,0.0,0.0,35.0
framework.util.jdbc.JDBCUtils,35.2424,0.0,0.0,0.1903,0.0,0.0,1.0,1203.0,0.9777,23.0,6.0,7.0,496.0,115.0,12.0,0.0,0.0,33.0
freemind.extensions.ExportHook,52.7143,0.0,0.0,0.5714,0.0,1.0,1.0,377.0,1.0,3.0,9.0,5.0,19.0,57.0,14.0,4.0,0.0,7.0
geo.google.datamodel.GeoStatusCode,21.875,0.0,0.0,0.381,0.0,11.0,0.2308,196.0,0.8352,6.0,1.0,3.0,20.0,12.0,4.0,0.0,0.0,8.0
geo.google.mapping.AddressToUsAddressFunctor,31.0,0.0,0.0,0.4167,0.0,1.0,1.0,161.0,0.75,4.0,19.0,1.0,8.0,42.0,20.0,0.0,0.0,5.0
ghm.follow.gui.TabbedPane,17.6667,0.0,0.0,0.4583,0.0,1.0,1.0,113.0,0.2,5.0,2.0,1.0,13.0,23.0,3.0,0.0,0.0,6.0
ghm.follow.search.SearchableTextPane,34.5556,0.0,0.0,0.3175,0.0,0.0,1.0,324.0,0.8125,6.0,3.0,10.0,26.0,46.0,13.0,0.0,0.0,9.0
glengineer.agents.GroupAgent,21.5,0.0,0.0,0.2347,0.0,0.0,1.0,631.0,0.1852,23.0,10.0,14.0,0.0,70.0,18.0,2.0,0.0,28.0
glengineer.blocks.Block,24.9091,0.0,0.0,0.4318,0.0,1.0,1.0,286.0,0.4,11.0,5.0,6.0,23.0,29.0,9.0,2.0,0.0,11.0
gnu.trove.decorator.TDoubleShortMapDecorator,11.0455,0.0,0.0,0.1773,0.0,1.0,0.5,267.0,0.6667,18.0,2.0,4.0,121.0,45.0,5.0,0.0,0.0,22.0
gnu.trove.decorator.TShortByteMapDecorator,11.0455,0.0,0.0,0.1773,0.0,1.0,0.5,267.0,0.6667,18.0,2.0,4.0,121.0,45.0,5.0,0.0,0.0,22.0
gnu.trove.impl.hash.TCharHash,25.7857,0.0,0.0,0.4048,0.0,0.0,0.5,379.0,0.6731,7.0,4.0,5.0,0.0,23.0,9.0,2.0,0.0,14.0
gnu.trove.impl.hash.TFloatCharHash,29.8889,0.0,0.0,0.2847,0.0,0.0,0.6,561.0,0.7294,10.0,3.0,1.0,13.0,34.0,4.0,1.0,0.0,18.0
gnu.trove.impl.hash.TFloatDoubleHash,29.8889,0.0,0.0,0.2847,0.0,0.0,0.6,561.0,0.7294,10.0,3.0,1.0,13.0,34.0,4.0,1.0,0.0,18.0
gnu.trove.impl.hash.TShortHash,25.7857,0.0,0.0,0.4048,0.0,0.0,0.5,379.0,0.6731,7.0,4.0,5.0,0.0,23.0,9.0,2.0,0.0,14.0
gnu.trove.list.linked.TDoubleLinkedList,23.3289,0.0,0.0,0.125,0.0,2.0,0.0,1853.0,0.5367,68.0,8.0,2.0,2190.0,124.0,9.0,0.0,0.0,76.0
gnu.trove.map.hash.TByteFloatHashMap,20.5745,0.0,0.0,0.1157,0.0,0.0,0.5,1016.0,0.7283,36.0,14.0,6.0,543.0,108.0,16.0,0.0,0.0,47.0
gnu.trove.map.hash.TByteObjectHashMap,22.1842,0.0,0.0,0.1151,0.0,1.0,0.75,885.0,0.7905,32.0,15.0,8.0,317.0,95.0,18.0,0.0,0.0,38.0
gnu.trove.map.hash.TFloatObjectHashMap,22.1842,0.0,0.0,0.1211,0.0,1.0,0.75,885.0,0.7905,32.0,15.0,8.0,317.0,98.0,18.0,0.0,0.0,38.0
gui.AudioManager,44.1818,0.0,0.0,0.475,0.0,0.0,1.0,508.0,0.6,9.0,4.0,3.0,0.0,46.0,7.0,0.0,0.0,11.0
httpanalyzer.HttpAnalyzerView,77.4848,0.0,0.0,0.1818,0.0,6.0,0.6161,5292.0,0.9636,5.0,71.0,37.0,2033.0,351.0,71.0,0.0,0.0,66.0
httpanalyzer.Password,482.5556,0.0,0.0,0.3438,0.0,0.0,1.0,4363.0,0.6932,3.0,0.0,2.0,24.0,27.0,2.0,0.0,0.0,9.0
ioproject.server.network.ClientGroup,21.6667,0.0,0.0,0.3194,0.0,2.0,1.0,276.0,0.4545,7.0,3.0,3.0,0.0,29.0,6.0,1.0,0.0,12.0
ipac.BinaryCalculate,118.8333,0.0,0.0,0.6389,0.0,0.0,0.0,1450.0,0.5606,5.0,2.0,2.0,0.0,44.0,3.0,0.0,0.0,12.0
ipac.WhoIS,75.2857,0.0,0.0,0.3036,0.0,0.0,0.0,1086.0,0.7393,3.0,8.0,9.0,69.0,86.0,10.0,0.0,0.0,14.0
jahuwaldt.plot.PlotAxis,9.9643,0.0,0.0,0.1591,0.0,1.0,0.7647,324.0,0.9216,24.0,4.0,5.0,252.0,36.0,9.0,2.0,0.0,28.0
jaw.entrada.Abrir,41.25,0.0,0.0,0.625,0.0,1.0,0.0,173.0,0.8333,2.0,9.0,3.0,0.0,26.0,9.0,0.0,0.0,4.0
jaw.entrada.Salvar,236.0,0.0,0.0,1.0,0.0,0.0,0.2857,244.0,2.0,1.0,9.0,3.0,0.0,34.0,9.0,0.0,0.0,1.0
jcmdline.HelpCmdLineHandler,26.2308,0.0,0.0,0.4505,0.0,3.0,1.0,360.0,0.0,12.0,9.0,4.0,76.0,36.0,13.0,0.0,0.0,13.0
jgaapGUI,308.0,0.0,0.0,0.625,0.0,1.0,0.9818,1291.0,0.6121,3.0,4.0,1.0,2.0,84.0,5.0,0.0,0.0,4.0
jigl.image.levelSetTool.LevelSetNudge,1387.2857,0.0,0.0,0.4167,0.0,8.0,0.7222,9736.0,0.7315,3.0,3.0,1.0,0.0,18.0,4.0,0.0,0.0,7.0
jigl.image.ops.ConnectedComponents,156.6667,0.0,0.0,0.6667,0.0,0.0,0.5,477.0,0.75,1.0,6.0,0.0,1.0,15.0,6.0,0.0,0.0,3.0
jigl.image.ops.Shift,52.8889,0.0,0.0,0.3333,0.0,0.0,0.6,490.0,0.45,1.0,7.0,0.0,30.0,28.0,7.0,0.0,0.0,9.0
jigl.image.ops.levelOps.Clip,41.3636,0.0,0.0,0.2525,0.0,0.0,1.0,470.0,0.15,3.0,9.0,0.0,45.0,46.0,9.0,0.0,0.0,11.0
jipa.Main,54.5,0.0,0.0,0.2564,0.0,0.0,0.0,780.0,0.7949,13.0,4.0,1.0,75.0,56.0,4.0,0.0,0.0,14.0
jipa.Variable,12.5,0.0,0.0,0.4444,0.0,0.0,0.6667,138.0,0.4815,4.0,0.0,1.0,7.0,22.0,1.0,0.0,0.0,10.0
