TARGET_CLASS,Difference
net.sf.javaml.core.AbstractInstance,-1
net.sf.javaml.core.Complex,0
net.sf.javaml.core.DefaultDataset,1
net.sf.javaml.core.DenseInstance,1
net.sf.javaml.core.Fold,0
net.sf.javaml.core.SparseInstance,0
net.sf.javaml.tools.data.ARFFHandler,0
net.sf.lavalamp.device.TimeOfDay,0
net.sf.sugar.fspath.FSPathResult,0
net.sf.sugar.fspath.cli.FSPathExplorer,1
net.sf.xbus.base.core.MessageHandler,-1
net.sf.xbus.base.core.reflection.XBUSClassLoader,0
net.sf.xisemele.impl.OperationsHelperImpl,0
net.sourceforge.beanbin.reflect.MethodReflectionCriteria,1
net.sourceforge.beanbin.reflect.ReflectionSearch,0
net.sourceforge.ext4j.log.log4j.ExtrasPatternParser,0
net.sourceforge.ext4j.taglib.bo.Request,-1
net.sourceforge.jwbf.mediawiki.actions.editing.MovePage,0
net.sourceforge.jwbf.mediawiki.actions.queries.TemplateUserTitles,0
net.sourceforge.schemaspy.model.Table,1
net.sourceforge.schemaspy.model.xml.TableMeta,1
net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet,0
net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,1
net.virtualinfinity.atrobots.gui.renderers.RobotRenderer,-1
net.virtualinfinity.atrobots.robot.Robot,1
nu.staldal.lagoon.LagoonCLI,1
nu.staldal.lagoon.LagoonGUI,1
org.apache.commons.cli.HelpFormatter,1
org.apache.commons.cli.Option,0
org.apache.commons.codec.language.DoubleMetaphone,1
org.apache.commons.collections4.list.TreeList,1
org.apache.commons.collections4.sequence.SequencesComparator,0
org.apache.commons.math3.analysis.FunctionUtils,1
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,1
org.apache.commons.math3.dfp.DfpDec,-1
org.apache.commons.math3.distribution.HypergeometricDistribution,0
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,-1
org.apache.commons.math3.fraction.Fraction,1
org.apache.commons.math3.fraction.ProperFractionFormat,-1
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet,1
org.apache.commons.math3.geometry.euclidean.threed.Rotation,1
org.apache.commons.math3.linear.MatrixUtils,1
org.apache.commons.math3.linear.RectangularCholeskyDecomposition,0
org.apache.commons.math3.linear.SchurTransformer,1
org.apache.commons.math3.ode.AbstractIntegrator,1
org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator,1
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,1
org.apache.commons.math3.optim.univariate.BrentOptimizer,0
org.apache.commons.math3.optimization.direct.CMAESOptimizer,0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,0
org.apache.commons.math3.optimization.linear.SimplexTableau,0
org.apache.commons.math3.util.MathUtils,-1
org.apache.commons.math3.util.MultidimensionalCounter,1
org.apache.lucene.search.exposed.ExposedTimSort,1
org.apache.lucene.search.exposed.compare.NamedCollatorComparator,0
org.asphodel.DefaultRepositoryManager,0
org.databene.jdbacl.DBUtil,1
org.databene.jdbacl.SQLUtil,1
org.exolab.jms.net.connector.DefaultConnectionPool,1
org.exolab.jms.net.socket.SocketRequestInfo,0
org.firebirdsql.encodings.EncodingFactory,1
org.firebirdsql.jdbc.FBProcedureCall,1
org.fixsuite.message.Library,0
org.fixsuite.message.view.TreeView,-1
org.heal.module.search.AdvSearchDAO,1
org.heal.util.InterfaceUtilitiesBean,0
org.javathena.login.Login,1
org.javathena.login.UserManagement,-1
org.javathena.login.parse.FromClient,-1
org.javathena.utiles.ConfigurationManagement,1
org.jcvi.jillion.assembly.ca.frg.Distance,0
org.jcvi.jillion.assembly.consed.phd.DefaultPhdReadTag,1
org.jdom2.Verifier,1
org.jdom2.output.SAXOutputter,1
org.jdom2.output.XMLOutputter,0
org.jdom2.transform.JDOMResult,-1
org.jdom2.util.NamespaceStack,1
org.jfree.chart.axis.Axis,1
org.jfree.chart.plot.MultiplePiePlot,1
org.jfree.chart.plot.ValueMarker,-1
org.jfree.chart.plot.XYPlot,1
org.jfree.chart.renderer.GrayPaintScale,0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,1
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,-1
org.jfree.chart.renderer.category.StatisticalBarRenderer,-1
org.jfree.data.category.DefaultIntervalCategoryDataset,1
org.jfree.data.time.TimePeriodValues,1
org.jfree.data.time.TimeSeries,1
org.joda.time.DateTimeZone,-1
org.joda.time.MutableDateTime,-1
org.joda.time.MutablePeriod,1
org.joda.time.Partial,1
org.joda.time.Period,-1
org.joda.time.base.BasePeriod,1
org.joda.time.base.BaseSingleFieldPeriod,-1
org.joda.time.chrono.BasicMonthOfYearDateTimeField,1
org.joda.time.chrono.LimitChronology,0
org.joda.time.format.DateTimeFormatter,1
org.joda.time.format.DateTimeFormatterBuilder,1
org.joda.time.format.PeriodFormatterBuilder,1
org.joda.time.tz.ZoneInfoCompiler,1
org.jsecurity.util.AntPathMatcher,1
org.jsecurity.web.DefaultWebSecurityManager,-1
org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilter,0
org.mozilla.javascript.Parser,1
org.objectweb.asm.jip.ClassReader,1
org.objectweb.asm.jip.MethodWriter,1
org.objectweb.asm.jip.commons.LocalVariablesSorter,-1
org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,0
org.petsoar.order.CreditCardInfo,0
org.petsoar.search.lucene.DefaultLuceneDocumentFactory,0
org.quickserver.net.client.monitoring.HostMonitoringService,-1
org.quickserver.net.server.impl.BlockingClientHandler,1
org.quickserver.net.server.impl.NonBlockingClientHandler,1
org.quickserver.util.xmlreader.QuickServerConfig,0
org.saxpath.Axis,0
org.scribe.model.OAuthConfig,0
org.scribe.model.OAuthRequest,0
org.scribe.model.Request,0
org.scribe.model.Response,1
org.scribe.model.Token,0
org.scribe.model.Verifier,0
org.sourceforge.ifx.basetypes.IFXObject,0
org.tartarus.snowball.ext.englishStemmer,1
org.tartarus.snowball.ext.italianStemmer,1
org.tartarus.snowball.ext.turkishStemmer,1
org.templateit.Region,0
org.templateit.WorkbookParser,1
org.znerd.xmlenc.XMLChecker,1
org.znerd.xmlenc.XMLEncoder,1
osa.ora.server.admin.ui.UpdateUserPanel,0
osa.ora.server.client.ui.utils.FontChooserDialog,0
server.ServerGameModel,-1
simulator.CA.ConsumerAgent,1
simulator.CA.gui.ConsumerGUI,0
src.Battle,0
src.Purchase,0
src.VassalRebellion,0
teder.TederFrame,0
twitter4j.ExceptionDiagnosis,0
twitter4j.GeoQuery,0
twitter4j.OEmbedRequest,1
twitter4j.Paging,0
twitter4j.TwitterBaseImpl,1
twitter4j.TwitterException,1
twitter4j.TwitterImpl,1
uk.me.jockmacmad.jstate.state.Transition,1
umd.cs.shop.JSJshop,1
umd.cs.shop.JSPredicateForm,1
umd.cs.shop.JSState,-1
umd.cs.shop.JSTerm,1
visu.handball.moves.actions.CreateMovePdfAction,0
visu.handball.moves.xml.HandballModelReader,-1
weka.classifiers.Evaluation,1
weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,1
weka.core.FindWithCapabilities,1
weka.core.Memory,0
wheel.asm.ClassReader,1
wheel.asm.ClassWriter,1
wheel.asm.FieldWriter,1
wheel.util.DynamicSelectModel,-1
